csad,cssd,r_m,r_m_abs,r_m_sqr,stringencyindex_weightedaverage,c6e_stayathomerequirements,D25Upper,D10Upper,D5Upper,populationvaccinated,rolling_deaths,cases
1.398569,.1140456,.4456435,.4456435,.2207636,.5139,1,0,0,0,0,0,17
1.491496,.1139747,-1.854277,1.854277,3.349142,.5139,1,0,0,0,0,0,29
1.480476,.1236601,1.32314,1.32314,1.815356,.5139,1,0,0,0,0,0,16
1.637738,.1288605,-1.153934,1.153934,1.276272,.5139,1,0,0,0,0,0,27
1.942965,.1526843,-1.604163,1.604163,2.496248,.5139,1,0,0,0,0,.1428571,23
1.354968,.118026,.0192663,.0192663,.0018903,.5139,1,0,0,0,0,.1428571,23
1.611276,.1220267,1.732299,1.732299,3.08533,.5139,1,0,0,0,0,.1428571,23
1.39616,.1223159,.1423405,.1423405,.0277395,.4444,1,0,0,0,0,.2857143,18
1.513141,.1312518,.2667525,.2667525,.08466,.4444,1,0,0,0,0,.2857143,17
1.629908,.1343267,-.440242,.440242,.1730815,.5,1,0,0,0,0,.1428571,19
1.275597,.1058219,.7152331,.7152331,.5467781,.5,1,0,0,0,0,.1428571,28
1.341775,.1061199,.2501211,.2501211,.0752583,.5,1,0,0,0,0,.1428571,28
1.201938,.109322,.0290088,.0290088,.0028324,.7824,3,1,0,0,0,0,41
1.513724,.1345807,.159604,.159604,.0337881,.7824,3,1,0,0,0,0,21
1.140736,.0944907,-.1137203,.1137203,.0080119,.7824,3,1,0,0,0,0,33
1.302486,.1163866,-.7987546,.7987546,.5999172,.7824,3,1,0,0,0,0,31
1.859058,.1399454,-1.66955,1.66955,2.70714,.7824,3,1,0,0,0,.4285714,30
1.412529,.1275748,-.5644252,.5644252,.291831,.7824,3,1,0,0,0,.4285714,23
1.277175,.1125488,.9415666,.9415666,.9327272,.7824,3,1,0,0,0,.5714286,29
1.222346,.1033598,-.4603049,.4603049,.1901776,.7824,3,1,0,0,0,.7142857,20
1.31464,.1113534,.8517237,.8517237,.7672622,.7824,3,1,0,0,0,.7142857,18
