,Date,StringencyIndex_WeightedAverage,C6E_Stay at home requirements,PopulationVaccinated
992,20220919,69.91,3.0,89.11
993,20220920,69.91,3.0,89.11
994,20220921,69.91,3.0,89.11
995,20220922,69.91,3.0,89.11
996,20220923,69.91,3.0,89.11
997,20220924,69.91,3.0,89.11
998,20220925,69.91,3.0,89.11
999,20220926,69.91,3.0,89.11
1000,20220927,69.91,3.0,89.11
1001,20220928,69.91,3.0,89.17
1002,20220929,69.91,3.0,89.17
1003,20220930,69.91,3.0,89.17
1004,20221001,69.91,3.0,89.17
1005,20221002,69.91,3.0,89.17
1006,20221003,69.91,3.0,89.17
1007,20221004,69.91,3.0,89.17
1008,20221005,69.91,3.0,89.17
1009,20221006,69.91,3.0,89.17
1010,20221007,69.91,3.0,89.17
1011,20221008,69.91,3.0,89.17
1012,20221009,69.91,3.0,89.17
1013,20221010,66.2,2.0,89.17
1014,20221011,66.2,2.0,89.17
1015,20221012,66.2,2.0,89.19
1016,20221013,66.2,2.0,89.19
1017,20221014,66.2,2.0,89.19
1018,20221015,66.2,2.0,89.19
1019,20221016,66.2,2.0,89.19
1020,20221017,66.2,2.0,89.19
1021,20221018,66.2,2.0,89.19
1022,20221019,66.2,2.0,89.19
1023,20221020,66.2,2.0,89.19
1024,20221021,66.2,2.0,89.19
1025,20221022,66.2,2.0,89.19
1026,20221023,66.2,2.0,89.19
1027,20221024,66.2,2.0,89.19
1028,20221025,66.2,2.0,89.19
1029,20221026,66.2,2.0,89.19
1030,20221027,66.2,2.0,89.19
1031,20221028,66.2,2.0,89.19
1032,20221029,66.2,2.0,89.19
1033,20221030,66.2,2.0,89.19
1034,20221031,66.2,2.0,89.19
1035,20221101,66.2,2.0,89.19
1036,20221102,62.5,2.0,89.19
1037,20221103,62.5,2.0,89.19
1038,20221104,62.5,2.0,89.22
1039,20221105,62.5,2.0,89.22
1040,20221106,62.5,2.0,89.22
1041,20221107,62.5,2.0,89.22
1042,20221108,62.5,2.0,89.22
1043,20221109,62.5,2.0,89.22
1044,20221110,62.5,2.0,89.22
1045,20221111,62.5,2.0,89.22
1046,20221112,62.5,2.0,89.22
1047,20221113,62.5,2.0,89.22
1048,20221114,62.5,2.0,89.22
1049,20221115,62.5,2.0,89.22
1050,20221116,62.5,2.0,89.22
1051,20221117,62.5,2.0,89.22
1052,20221118,69.91,2.0,89.22
1053,20221119,69.91,2.0,89.22
1054,20221120,69.91,2.0,89.22
1055,20221121,75.46,2.0,89.22
1056,20221122,75.46,2.0,89.22
1057,20221123,79.17,3.0,89.22
1058,20221124,79.17,3.0,89.22
1059,20221125,79.17,3.0,89.22
1060,20221126,79.17,3.0,89.22
1061,20221127,79.17,3.0,89.22
1062,20221128,79.17,3.0,89.27
1063,20221129,79.17,3.0,89.27
1064,20221130,79.17,3.0,89.27
1065,20221201,71.76,1.0,89.27
1066,20221202,71.76,1.0,89.27
1067,20221203,71.76,1.0,89.27
1068,20221204,71.76,1.0,89.27
1069,20221205,71.76,1.0,89.27
1070,20221206,71.76,1.0,89.27
1071,20221207,71.76,1.0,89.27
1072,20221208,68.98,1.0,89.27
1073,20221209,67.13,0.0,89.27
1074,20221210,67.13,0.0,89.27
1075,20221211,67.13,0.0,89.27
1076,20221212,67.13,0.0,89.27
1077,20221213,58.8,0.0,89.35
1078,20221214,53.24,0.0,89.35
1079,20221215,53.24,0.0,89.35
1080,20221216,53.24,0.0,89.35
1081,20221217,53.24,0.0,89.35
1082,20221218,53.24,0.0,89.35
1083,20221219,47.69,0.0,89.35
1084,20221220,47.69,0.0,89.35
1085,20221221,47.69,0.0,89.35
1086,20221222,47.69,0.0,89.35
1087,20221223,47.69,0.0,89.35
1088,20221224,47.69,0.0,89.35
1089,20221225,47.69,0.0,89.35
1090,20221226,47.69,0.0,89.35
1091,20221227,47.69,0.0,89.35
